task,horizon/model_name,config_name,use_history,use_player_identity,use_clock,C,roc_auc,log_loss,brier,accuracy,white_mae,black_mae,avg_mae,white_rmse,black_rmse,white_r2,black_r2,algorithm,params_json,feature_set
classification,white_win_after_3,xgboost_conservative_after3_enhanced,False,False,False,,0.5556262664165104,0.6877661352874276,0.24720023170535108,0.532,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",after3_enhanced
classification,white_win_after_3,xgboost_balanced_after3_enhanced,False,False,False,,0.5463024390243902,0.7009016176104483,0.2527520383339398,0.533,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",after3_enhanced
classification,white_win_after_10,lightgbm_conservative_after10_enhanced_clock,False,False,True,,0.5906311444652907,0.6777808790178239,0.24240453879237786,0.5555,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",after10_enhanced_clock
classification,white_win_after_10,lightgbm_balanced_after10_enhanced_clock,False,False,True,,0.579827392120075,0.6950294139884313,0.24987293675652583,0.5465,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",after10_enhanced_clock
classification,white_win_after_10,xgboost_conservative_after10_enhanced_clock,False,False,True,,0.5917358348968105,0.6776693738407545,0.2423762619528583,0.5585,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",after10_enhanced_clock
classification,white_win_after_10,xgboost_balanced_after10_enhanced_clock,False,False,True,,0.5812672920575359,0.6887606265186639,0.2473032642599783,0.5445,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",after10_enhanced_clock
regression,elo_after_10,lightgbm_conservative_elo_enhanced_history,True,False,False,,,,,,89.38482734372522,92.8613702092637,91.12309877649446,155.24343124049028,159.74294279696875,0.8227577215398415,0.8123453564374589,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",elo_enhanced_history
regression,elo_after_10,lightgbm_balanced_elo_enhanced_history,True,False,False,,,,,,93.06261351558933,95.881181287449,94.47189740151916,154.9389480394878,158.43537024882306,0.8234523000105474,0.815404869580482,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",elo_enhanced_history
regression,elo_after_10,xgboost_conservative_elo_enhanced_history,True,False,False,,,,,,97.04800415039062,100.43321990966797,98.7406120300293,160.45814534092685,164.392899453185,0.8106504082679749,0.8012614846229553,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",elo_enhanced_history
regression,elo_after_10,xgboost_balanced_elo_enhanced_history,True,False,False,,,,,,91.32699584960938,95.09133911132812,93.20916748046875,153.66690462856664,157.33466023893146,0.8263393044471741,0.8179608583450317,xgboost,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",elo_enhanced_history
