model_name,log_loss,brier_score,accuracy,roc_auc,white_elo_mae,black_elo_mae,white_elo_rmse,black_elo_rmse,white_elo_r2,black_elo_r2,avg_mae
t1_before_logreg_history,0.6787079883803195,0.24322535450693641,0.5522,0.5791852049610252,,,,,,,
t2_after3_gradient_boosting_stockfish,0.6780043930980848,0.24287678970642781,0.5523,0.5826786010586789,,,,,,,
t3_after10_hist_gradient_boosting_stockfish,0.65323693125389,0.23135746337336283,0.6028,0.6483247191534409,,,,,,,
t4_elo_random_forest_stockfish,,,,,27.965342000000003,28.0734815,80.34291901704842,80.88328077894096,0.9523323844880983,0.9518209864939505,28.019411750000003
t4_elo_random_forest_no_stockfish,,,,,28.022232000000002,28.078242499999998,81.06955496646074,81.40294175811462,0.9514662562679106,0.9511999142159685,28.050237250000002
