task,horizon/model_name,config_name,use_history,use_player_identity,use_clock,C,roc_auc,log_loss,brier,accuracy,white_mae,black_mae,avg_mae,white_rmse,black_rmse,white_r2,black_r2,algorithm,params_json,feature_set
classification,white_win_before,production_logreg_C1.0,False,False,False,1.0,0.5785723142892573,0.6761542603569173,0.24185494582599645,0.5455,,,,,,,,production,{},production_logreg_C1.0
classification,white_win_after_3,production_logreg_identity_C0.25,False,True,False,0.25,0.5718662874651499,0.6801466928171961,0.24354607638393197,0.5465,,,,,,,,production,{},production_logreg_identity_C0.25
classification,white_win_after_10,production_logreg_identity_clock_C0.25,False,True,True,0.25,0.6128214512858051,0.6647152835613233,0.23696616573277135,0.567,,,,,,,,production,{},production_logreg_identity_clock_C0.25
regression,elo_after_10,production_ridge_history_identity,True,True,False,,,,,,165.97243070176168,164.8295265550224,165.40097862839204,223.41664348505157,223.0137497555974,0.6378614962509942,0.638097535094579,production,{},production_ridge_history_identity
classification,white_win_before,lightgbm_conservative_before_history,True,False,False,,0.5799743198972797,0.6790787551159302,0.24300414061050385,0.5465,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",before_history
classification,white_win_before,lightgbm_balanced_before_history,True,False,False,,0.5551822207288829,0.7152652241107125,0.25791635532969187,0.528,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",before_history
classification,white_win_before,xgboost_conservative_before_history,True,False,False,,0.5731667926671706,0.6795553024000963,0.24345777670800722,0.535,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",before_history
classification,white_win_before,xgboost_balanced_before_history,True,False,False,,0.5490761963047852,0.7041947294467205,0.2542451550634553,0.522,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",before_history
classification,white_win_after_3,lightgbm_conservative_after3_enhanced,False,False,False,,0.5327176308705235,0.9683142757109741,0.3299487283226853,0.5275,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",after3_enhanced
classification,white_win_after_3,lightgbm_balanced_after3_enhanced,False,False,False,,0.5378481513926057,1.1795171319779376,0.3531934985629104,0.529,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",after3_enhanced
classification,white_win_after_3,xgboost_conservative_after3_enhanced,False,False,False,,0.5322326289305157,0.9432503079072102,0.3269197862513023,0.5215,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",after3_enhanced
classification,white_win_after_3,xgboost_balanced_after3_enhanced,False,False,False,,0.5393266573066292,1.0775780134603914,0.34088358245040795,0.535,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",after3_enhanced
classification,white_win_after_10,lightgbm_conservative_after10_enhanced_clock,False,False,True,,0.5233960935843744,1.0562387880214699,0.3429865805829554,0.505,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",after10_enhanced_clock
classification,white_win_after_10,lightgbm_balanced_after10_enhanced_clock,False,False,True,,0.5310951243804976,1.2491342233703222,0.3608378302532957,0.5155,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",after10_enhanced_clock
